Nome:,Termo 1:,Termo 2:,Termo 3:,Termo 4:,Termo 5:,Termo 6:,Termo 7:,Termo 8:,Termo 9:,Termo 10:,Termo 11:
participante#1,Tecnologias,Educação,Novas tecnologias,professores,alunos,digital,escola,alunos,uso,parte,faz
Participante#2,Escola,Educação ,Professores ,Alunos,Aula,Novas tecnologias ,Tecnologias ,Digital,Faz,Uso,Parte
Participante#3,educação,alunos,professores,escola,digital,aula,tecnologias,uso,parte,faz,novas tecnologias
Participante#4,Educacao,Tecnilogias,Alunos,aula,Professores,Faz,Uso,Novas tecnologias ui,Escola,Digital,Parte
Participante#5,Tecnologias,Novas Tecnologias,Digitais,Educação,Escola,Professores,Alunos,Aula,Uso,Faz,Parte
Participante#6,educação,novas tecnologias,professores,alunos,digital,tecnologias,escola,faz,uso,aula,parte
Participante#7,NOVAS TECNOLOGIAS,TECNOLOGIAS,EDUCAÇÃO,DIGITAL,ESCOLA,PROFESSORES,USO,AULA,PARTE,ALUNOS,FAZ
Participante#8,novas tecnologias,educação,uso,escola,professores,alunos,tecnologias,aula,digital,faz,parte
Participante#9,aula,educação,tecnologias,escola,professores,alunos,novas tecnologias,digital,uso,parte,faz
Participante#10,Educação,Alunos,Professores,Tecnologias,Novas tecnologias,Digitais,escola,aula,parte,faz,uso
Participante#11,Educação,novas tecnologias,digital,aula,uso,professores,alunos,tecnologias,escola,faz,parte
Participante#12,novas tecnologias,digital,Educação,Professores,Alunos,tecnologias,escola,aula,parte,faz,uso
Participante#13,novas tecnologias,educação,digital,tecnologias,escola,professores,alunos,aula,faz,uso,parte
Participante#14,tecnologias,educação,professores,alunos,escola,aula,novas tecnologias,digital,faz,parte,uso
Participante#15,novas tecnologias,digital ,tecnologia,educação,professores,escola,aula,alunos,uso,faz,parte
Participante#16,Educação,Tecnologia,Novas tecnologias,Escola,Aluno,Professor,Aula,Digital,Uso,Faz,Parte
